,link
65,https://www.aftonbladet.se/nyheter/a/GGJd56/18-aring-far-nio-ar-for-mord-av-misstag
66,https://www.aftonbladet.se/nyheter/a/21kLor/man-haktad-for-mord-i-goteborg
67,https://www.aftonbladet.se/nyheter/a/dOB7GO/man-domd-for-mord-efter-knivran
68,https://www.aftonbladet.se/nyheter/a/8mMWjw/man-misstanks-ha-mordat-under-permission
69,https://www.aftonbladet.se/nyheter/a/GGRjJm/gangledaren-lamnade-fodelsedagsfest--skots-till-dods
70,https://www.aftonbladet.se/nyheter/a/70vmQK/aklagaren-vill-att-mordet-pa-12-aringen-gar-till-domstol
71,https://tv.aftonbladet.se/video/291808
72,https://www.aftonbladet.se/nyheter/a/4q3dMe/dodsfall-pa-hotellrum-utreds-som-mord
73,https://tv.aftonbladet.se/video/300501
74,https://www.aftonbladet.se/nyheter/a/rgB828/unga-parets-ranturne-slutade-med-mord--doms-till-fangelse
75,https://www.aftonbladet.se/nyheter/a/e8RL7O/18-aring-larmade-polisen-efter-ran--sen-hoggs-han-ihjal
76,https://www.aftonbladet.se/nyheter/a/nalxgm/tre-atalas-for-ranmord-i-goteborg
77,https://www.aftonbladet.se/nyheter/a/RxdM75/sexfalla-bakom-mord-i-goteborg
78,https://www.aftonbladet.se/nyheter/a/8mLrlx/ung-man-hittades-dod--misstankt-mord
79,https://www.aftonbladet.se/nyheter/a/rAO52w/misstankt-mordad-hittad-utomhus
80,https://tv.aftonbladet.se/video/311470
81,https://www.aftonbladet.se/nyheter/a/9mQP49/man-begars-haktad-for-mord-i-goteborg
82,https://tv.aftonbladet.se/video/310115
83,https://tv.aftonbladet.se/video/330608
84,https://tv.aftonbladet.se/video/330623
85,https://www.aftonbladet.se/nyheter/a/WO9BRL/goteborgspolisen-har-sorg-efter-kollegans-dod
86,https://tv.aftonbladet.se/video/310730
87,https://www.aftonbladet.se/nyheter/a/OpXxwb/man-anhallen-for-knivmord-i-goteborg
88,https://www.aftonbladet.se/nyheter/a/rAyRge/ung-kvinna-dod-pa-hisingen--tva-misstankta
89,https://www.aftonbladet.se/nyheter/a/gWbnxJ/tre-dodsskjutningar-pa-36-timmar
90,https://tv.aftonbladet.se/video/300083
91,https://www.aftonbladet.se/nyheter/a/zGzpp1/hittades-knivhuggen-i-lagenhet--misstankt-mord
92,https://tv.aftonbladet.se/video/309618
93,https://tv.aftonbladet.se/video/309480
94,https://www.aftonbladet.se/nyheter/a/7lA0VB/man-hittad-dod--misstankt-mord-i-goteborg
95,https://www.aftonbladet.se/nyheter/a/vQVO8m/sankt-straff-for-mord-pa-flickvan
96,https://www.aftonbladet.se/nyheter/a/OnJeQq/misstankt-gripen-efter-mord-i-goteborg
97,https://www.aftonbladet.se/nyheter/a/RR8PA5/tva-personer-atalas-for-mordet-pa-ali-reza
98,https://www.aftonbladet.se/nyheter/a/xPKnJR/kalla-fall-grupp-tar-over-mordutredning
99,https://tv.aftonbladet.se/video/297669
100,https://tv.aftonbladet.se/video/296732
101,https://www.aftonbladet.se/nyheter/a/R93yRJ/17-aring-gripen-for-skjutningen-i-biskopsgarden
102,https://www.aftonbladet.se/nyheter/a/dObmoB/kvinna-hittades-dod-i-bostad--man-ska-ha-spelat-tv-spel
103,https://tv.aftonbladet.se/video/291571
104,https://www.aftonbladet.se/nyheter/a/e1y4lO/misstankt-mord-i-goteborg
105,https://www.aftonbladet.se/nyheter/a/0nbBGG/tre-begarda-haktade-for-ranmord-pa-18-aring
106,https://www.aftonbladet.se/nyheter/a/70yPr9/ung-man-dod--knivhoggs-i-centrala-goteborg
107,https://www.aftonbladet.se/nyheter/a/Wbdrya/tva-personer-anhallna-for-mord
108,https://tv.aftonbladet.se/video/294124
109,https://www.aftonbladet.se/nyheter/a/naPqMJ/hovratten-hedersmotiv-bakom-knivmord
110,https://tv.aftonbladet.se/video/330512
111,https://tv.aftonbladet.se/video/330511
112,https://tv.aftonbladet.se/video/330530
113,https://tv.aftonbladet.se/video/330528
114,https://www.aftonbladet.se/nyheter/a/9OPAwp/mamma-till-kriminell-utvisa-min-son
115,https://www.aftonbladet.se/nyheter/a/pLX3xW/kroppsdel-i-misstankt-mord-var-konstgjord
116,https://www.aftonbladet.se/nyheter/a/op27za/ranet-kan-ge-forklaringen-till-12-aringens-dod
117,https://tv.aftonbladet.se/video/282183
118,https://www.aftonbladet.se/nyheter/a/lE8zRL/har-grips-den-misstankte-polismordaren
119,https://tv.aftonbladet.se/video/301359
120,https://www.aftonbladet.se/nyheter/a/zGJOGO/knivdadet-pa-skolan-13-aring-misstanks-ha-dodat-tolvaring
121,https://www.aftonbladet.se/nyheter/a/weaQn5/fruktar-hamndattacker-efter-mordet-i-hjallbo
122,https://www.aftonbladet.se/nyheter/a/e1bJwO/vittnar-mot-varandra--lastes-in-tillsammans-kan-sla-ihjal-honom
123,https://www.aftonbladet.se/nyheter/a/J1mzwm/man-atalad-for-mord-pa-hisingen
